computer_name,event_id,Image,SourceIp,SourceHostname,SourcePort,User,DestinationIp,DestinationHostname,DestinationPort
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,60394,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,64591,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,58633,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62799,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,56994,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,64025,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,52391,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,65263,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,65170,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,53169,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.25.157,-,59542,NT AUTHORITY\NETWORK SERVICE,172.16.26.234,MY-CAL-WIN10.my-caldera.local,7680
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,239.255.255.250,-,1900,NT AUTHORITY\LOCAL SERVICE,172.16.26.232,EP-W10-REDPILL,58415
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49836,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,58568,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,61455,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,53035,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,58519,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,65445,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,224.0.0.252,-,5355,NT AUTHORITY\NETWORK SERVICE,172.16.26.221,MY-CAL-WIN11,50503
MY-CAL-WIN10.my-caldera.local,3,C:\Program Files\Orbit\bin\orbit\orbit.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49964,NT AUTHORITY\SYSTEM,15.222.171.144,ec2-15-222-171-144.ca-central-1.compute.amazonaws.com,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,51796,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,60270,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,56525,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,60003,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,System,172.16.26.255,-,137,NT AUTHORITY\SYSTEM,172.16.26.20,TOR-LAB-NAS-01,137
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,51777,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50026,NT AUTHORITY\SYSTEM,15.222.171.144,ec2-15-222-171-144.ca-central-1.compute.amazonaws.com,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,52222,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,63997,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,60878,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,239.255.255.250,-,1900,NT AUTHORITY\LOCAL SERVICE,172.16.26.232,EP-W10-REDPILL,64853
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,65348,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50667,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,54226,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,64888,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,61815,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62049,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,fe80:0:0:0:e780:23dd:6c8c:c7a8,MY-CAL-WIN10.my-caldera.local,65373,NT AUTHORITY\NETWORK SERVICE,ff02:0:0:0:0:0:1:3,-,5355
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,57561,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,56537,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62374,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,55338,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,fe80:0:0:0:e780:23dd:6c8c:c7a8,MY-CAL-WIN10.my-caldera.local,63863,NT AUTHORITY\NETWORK SERVICE,ff02:0:0:0:0:0:1:3,-,5355
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49358,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62011,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,fe80:0:0:0:3a82:bcc3:184c:5cc2,MY-CAL-WIN10.my-caldera.local,51433,NT AUTHORITY\NETWORK SERVICE,ff02:0:0:0:0:0:1:3,-,5355
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,59296,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,59392,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.25.157,-,59535,NT AUTHORITY\NETWORK SERVICE,172.16.26.234,MY-CAL-WIN10.my-caldera.local,7680
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,239.255.255.250,-,1900,NT AUTHORITY\LOCAL SERVICE,172.16.26.232,EP-W10-REDPILL,58414
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,52195,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,63825,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,52444,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,58167,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,System,172.16.26.255,-,138,NT AUTHORITY\SYSTEM,172.16.26.223,-,138
MY-CAL-WIN10.my-caldera.local,3,System,172.16.26.255,-,138,NT AUTHORITY\SYSTEM,172.16.26.221,MY-CAL-WIN11,138
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,61587,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,55715,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,System,172.16.26.255,-,137,NT AUTHORITY\SYSTEM,172.16.26.20,TOR-LAB-NAS-01,137
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,65093,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,56933,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49261,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,51180,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,59971,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49396,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,65355,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,51799,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49967,NT AUTHORITY\SYSTEM,15.222.171.144,ec2-15-222-171-144.ca-central-1.compute.amazonaws.com,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,58284,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49969,NT AUTHORITY\SYSTEM,3.98.188.115,ec2-3-98-188-115.ca-central-1.compute.amazonaws.com,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,51406,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,51642,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49985,NT AUTHORITY\SYSTEM,13.69.239.74,-,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,53811,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49996,MY-CALDERA\johnny.douche,13.107.246.35,-,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,53976,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50252,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49998,MY-CALDERA\johnny.douche,72.21.81.200,-,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49994,MY-CALDERA\johnny.douche,13.107.246.35,-,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49995,MY-CALDERA\johnny.douche,13.107.246.35,-,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,fe80:0:0:0:3a82:bcc3:184c:5cc2,MY-CAL-WIN10.my-caldera.local,62619,NT AUTHORITY\NETWORK SERVICE,ff02:0:0:0:0:0:1:3,-,5355
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,239.255.255.250,-,1900,NT AUTHORITY\LOCAL SERVICE,172.16.26.113,-,1900
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,59819,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,239.255.255.250,-,1900,NT AUTHORITY\LOCAL SERVICE,172.16.26.232,EP-W10-REDPILL,58412
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,64676,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,55895,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.25.157,-,59544,NT AUTHORITY\NETWORK SERVICE,172.16.26.234,MY-CAL-WIN10.my-caldera.local,7680
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49472,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62729,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.25.157,-,59551,NT AUTHORITY\NETWORK SERVICE,172.16.26.234,MY-CAL-WIN10.my-caldera.local,7680
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,239.255.255.250,-,1900,NT AUTHORITY\LOCAL SERVICE,172.16.26.216,EP-WIN11-01,58947
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.25.157,-,59553,NT AUTHORITY\NETWORK SERVICE,172.16.26.234,MY-CAL-WIN10.my-caldera.local,7680
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62524,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49956,NT AUTHORITY\SYSTEM,3.97.4.86,ec2-3-97-4-86.ca-central-1.compute.amazonaws.com,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,64792,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62163,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62898,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,System,172.16.26.234,MY-CAL-WIN10.my-caldera.local,137,NT AUTHORITY\SYSTEM,172.16.26.197,-,137
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,fe80:0:0:0:3a82:bcc3:184c:5cc2,MY-CAL-WIN10.my-caldera.local,61849,NT AUTHORITY\NETWORK SERVICE,ff02:0:0:0:0:0:1:3,-,5355
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,fe80:0:0:0:3a82:bcc3:184c:5cc2,MY-CAL-WIN10.my-caldera.local,52793,NT AUTHORITY\NETWORK SERVICE,ff02:0:0:0:0:0:1:3,-,5355
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,54438,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,52137,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,58122,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,64316,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62848,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,51671,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49690,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49981,NT AUTHORITY\SYSTEM,3.98.188.115,ec2-3-98-188-115.ca-central-1.compute.amazonaws.com,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,60597,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,54588,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,58004,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,53386,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,54482,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,61523,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,49990,MY-CALDERA\johnny.douche,72.21.81.200,-,443
MY-CAL-WIN10.my-caldera.local,3,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50017,NT AUTHORITY\SYSTEM,3.98.188.115,ec2-3-98-188-115.ca-central-1.compute.amazonaws.com,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50025,MY-CALDERA\johnny.douche,50.116.1.184,ack.nmap.org,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,59855,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,53291,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,52439,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50037,NT AUTHORITY\SYSTEM,15.222.171.144,ec2-15-222-171-144.ca-central-1.compute.amazonaws.com,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50038,MY-CALDERA\johnny.douche,178.57.221.94,-,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,55930,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,58970,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50035,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,64295,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
